INFO: Linting file 'TMF777-Copilot-v1.0.0.oas.yaml' against 42 rules: https://quobix.com/vacuum/rulesets/recommended



TMF777-Copilot-v1.0.0.oas.yaml
-------------------------------------------------------------------
Location                                                                    | Severity | Message                                                                 | Rule                    | Category     | Path
TMF777-Copilot-v1.0.0.oas.yaml:78:16   | info     | Description at line `78` is a duplicate of line `79`                    | description-duplication | Descriptions | $.paths['/knowledgeItem'].get.summary
TMF777-Copilot-v1.0.0.oas.yaml:143:16  | info     | Description at line `143` is a duplicate of line `144`                  | description-duplication | Descriptions | $.paths['/message'].get.summary
TMF777-Copilot-v1.0.0.oas.yaml:252:24  | info     | Description at line `252` is a duplicate of line `187`                  | description-duplication | Descriptions | $.paths['/rating'].post.responses['202'].description
TMF777-Copilot-v1.0.0.oas.yaml:275:16  | info     | Description at line `275` is a duplicate of line `276`                  | description-duplication | Descriptions | $.paths['/thread'].get.summary
TMF777-Copilot-v1.0.0.oas.yaml:319:24  | info     | Description at line `319` is a duplicate of line `187`                  | description-duplication | Descriptions | $.paths['/thread'].post.responses['202'].description
TMF777-Copilot-v1.0.0.oas.yaml:373:16  | info     | Description at line `373` is a duplicate of line `374`                  | description-duplication | Descriptions | $.paths['/toolCallTask'].get.summary
TMF777-Copilot-v1.0.0.oas.yaml:417:24  | info     | Description at line `417` is a duplicate of line `187`                  | description-duplication | Descriptions | $.paths['/toolCallTask'].post.responses['202'].description
TMF777-Copilot-v1.0.0.oas.yaml:502:5   | warning  | `schemas` component `KnowledgeItem` is missing a description            | component-description   | Descriptions | $.components.schemas['KnowledgeItem']
TMF777-Copilot-v1.0.0.oas.yaml:543:5   | warning  | `schemas` component `Message` is missing a description                  | component-description   | Descriptions | $.components.schemas['Message']
TMF777-Copilot-v1.0.0.oas.yaml:574:5   | warning  | `schemas` component `Message_FVO` is missing a description              | component-description   | Descriptions | $.components.schemas['Message_FVO']
TMF777-Copilot-v1.0.0.oas.yaml:578:24  | info     | Description at line `578` is a duplicate of line `547`                  | description-duplication | Descriptions | $.components.schemas['Message_FVO'].allOf.description
TMF777-Copilot-v1.0.0.oas.yaml:617:5   | warning  | `schemas` component `Rating` is missing a description                   | component-description   | Descriptions | $.components.schemas['Rating']
TMF777-Copilot-v1.0.0.oas.yaml:645:5   | warning  | `schemas` component `Rating_FVO` is missing a description               | component-description   | Descriptions | $.components.schemas['Rating_FVO']
TMF777-Copilot-v1.0.0.oas.yaml:649:24  | info     | Description at line `649` is a duplicate of line `621`                  | description-duplication | Descriptions | $.components.schemas['Rating_FVO'].allOf.description
TMF777-Copilot-v1.0.0.oas.yaml:685:5   | warning  | `schemas` component `Thread` is missing a description                   | component-description   | Descriptions | $.components.schemas['Thread']
TMF777-Copilot-v1.0.0.oas.yaml:697:5   | warning  | `schemas` component `Thread_FVO` is missing a description               | component-description   | Descriptions | $.components.schemas['Thread_FVO']
TMF777-Copilot-v1.0.0.oas.yaml:717:5   | warning  | `schemas` component `ToolCallTask` is missing a description             | component-description   | Descriptions | $.components.schemas['ToolCallTask']
TMF777-Copilot-v1.0.0.oas.yaml:742:5   | warning  | `schemas` component `ToolCallTask_FVO` is missing a description         | component-description   | Descriptions | $.components.schemas['ToolCallTask_FVO']
TMF777-Copilot-v1.0.0.oas.yaml:746:24  | info     | Description at line `746` is a duplicate of line `721`                  | description-duplication | Descriptions | $.components.schemas['ToolCallTask_FVO'].allOf.description
TMF777-Copilot-v1.0.0.oas.yaml:827:20  | info     | Description at line `827` is a duplicate of line `811`                  | description-duplication | Descriptions | $.components.schemas['Hub'].description
TMF777-Copilot-v1.0.0.oas.yaml:838:28  | info     | Description at line `838` is a duplicate of line `821`                  | description-duplication | Descriptions | $.components.schemas['Hub'].allOf.properties['callback'].des...
